ZD_deg,Ereco_min_TeV,Ereco_max_TeV,BckgRate_per_second,Theta_cut_deg,Gammaness_cut,n_events
20,0.7150402724894495,1.045639552591273,0.23805555555555555,0.5477225575051661,0.5,857
20,1.045639552591273,1.5290915994656933,0.3463888888888889,0.5477225575051661,0.8,1247
20,1.5290915994656933,2.2360679774997894,0.18,0.5477225575051661,0.9,648
20,2.2360679774997894,3.2699152894091723,0.19111111111111112,0.31622776601683794,0.9,688
20,3.2699152894091723,4.781762498950183,0.21833333333333332,0.31622776601683794,0.9,786
20,4.781762498950183,6.9926131329529735,0.27416666666666667,0.5477225575051661,0.9,987
20,6.9926131329529735,10.225651825635723,0.20916666666666667,0.31622776601683794,0.9,753
20,10.225651825635723,14.953487812212204,0.17277777777777778,0.31622776601683794,0.9,622
20,14.953487812212204,21.86724147886555,0.09555555555555556,0.22360679774997896,0.9,344
20,21.86724147886555,31.97757311872762,0.06166666666666667,0.22360679774997896,0.9,222
20,31.97757311872762,46.762422391131054,0.019444444444444445,0.1414213562373095,0.9,70
20,46.762422391131054,68.3830552045834,0.011944444444444445,0.1414213562373095,0.9,43
20,68.3830552045834,100.0,0.002777777777777778,0.1,0.9,10
30,0.7150402724894495,1.045639552591273,0.015555555555555555,0.22360679774997896,0.4,56
30,1.045639552591273,1.5290915994656933,0.4572222222222222,0.4472135954999579,0.6,1646
30,1.5290915994656933,2.2360679774997894,0.6605555555555556,0.4472135954999579,0.8,2378
30,2.2360679774997894,3.2699152894091723,0.21611111111111111,0.31622776601683794,0.9,778
30,3.2699152894091723,4.781762498950183,0.2747222222222222,0.4472135954999579,0.9,989
30,4.781762498950183,6.9926131329529735,0.23333333333333334,0.22360679774997896,0.9,840
30,6.9926131329529735,10.225651825635723,0.21805555555555556,0.22360679774997896,0.9,785
30,10.225651825635723,14.953487812212204,0.185,0.22360679774997896,0.9,666
30,14.953487812212204,21.86724147886555,0.095,0.1414213562373095,0.9,342
30,21.86724147886555,31.97757311872762,0.06194444444444445,0.1414213562373095,0.9,223
30,31.97757311872762,46.762422391131054,0.036944444444444446,0.1414213562373095,0.9,133
30,46.762422391131054,68.3830552045834,0.024166666666666666,0.1414213562373095,0.9,87
30,68.3830552045834,100.0,0.006388888888888889,0.1,0.9,23
40,1.045639552591273,1.5290915994656933,0.12361111111111112,0.4472135954999579,0.2,445
40,1.5290915994656933,2.2360679774997894,0.8180555555555555,0.4472135954999579,0.5,2945
40,2.2360679774997894,3.2699152894091723,0.6116666666666667,0.5477225575051661,0.8,2202
40,3.2699152894091723,4.781762498950183,0.1986111111111111,0.4472135954999579,0.9,715
40,4.781762498950183,6.9926131329529735,0.3136111111111111,0.31622776601683794,0.9,1129
40,6.9926131329529735,10.225651825635723,0.28583333333333333,0.31622776601683794,0.9,1029
40,10.225651825635723,14.953487812212204,0.235,0.31622776601683794,0.9,846
40,14.953487812212204,21.86724147886555,0.16055555555555556,0.22360679774997896,0.9,578
40,21.86724147886555,31.97757311872762,0.095,0.1414213562373095,0.9,342
40,31.97757311872762,46.762422391131054,0.04611111111111111,0.1,0.9,166
40,46.762422391131054,68.3830552045834,0.03666666666666667,0.1,0.9,132
40,68.3830552045834,100.0,0.03638888888888889,0.1414213562373095,0.9,131
60,4.781762498950183,6.9926131329529735,0.03166666666666667,0.31622776601683794,0.5,114
60,6.9926131329529735,10.225651825635723,4.315555555555555,0.5477225575051661,0.5,15536
60,10.225651825635723,14.953487812212204,8.851944444444445,0.5477225575051661,0.6,31867
60,14.953487812212204,21.86724147886555,4.645555555555555,0.4472135954999579,0.7,16724
60,21.86724147886555,31.97757311872762,0.12666666666666668,0.31622776601683794,0.9,456
60,31.97757311872762,46.762422391131054,0.15527777777777776,0.22360679774997896,0.9,559
60,46.762422391131054,68.3830552045834,0.14833333333333334,0.22360679774997896,0.9,534
60,68.3830552045834,100.0,0.11416666666666667,0.22360679774997896,0.9,411
