ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model,n_events,fit_mse
20,0.7150402724894495,1.045639552591273,58000,0.0,0.1,0.0,skewnorm,58,0.0
20,1.045639552591273,1.5290915994656933,793000,0.0,0.1,0.0,skewnorm,793,0.0
20,1.5290915994656933,2.2360679774997894,3110000,0.0,0.1,0.0,skewnorm,3110,0.0
20,2.2360679774997894,3.2699152894091723,4968000,0.0,0.1,0.0,skewnorm,4968,0.0
20,3.2699152894091723,4.781762498950183,6036000,0.0,0.1,0.0,skewnorm,6036,0.0
20,4.781762498950183,6.9926131329529735,6294000,0.0,0.1,0.0,skewnorm,6294,0.0
20,6.9926131329529735,10.225651825635723,5967000,0.0,0.1,0.0,skewnorm,5967,0.0
20,10.225651825635723,14.953487812212204,5205000,0.0,0.1,0.0,skewnorm,5205,0.0
20,14.953487812212204,21.86724147886555,4128000,0.0,0.1,0.0,skewnorm,4128,0.0
20,21.86724147886555,31.97757311872762,3292000,0.0,0.1,0.0,skewnorm,3292,0.0
20,31.97757311872762,46.762422391131054,2577000,0.0,0.1,0.0,skewnorm,2577,0.0
20,46.762422391131054,68.3830552045834,1941000,0.0,0.1,0.0,skewnorm,1941,0.0
20,68.3830552045834,100.0,1260000,0.0,0.1,0.0,skewnorm,1260,0.0
30,1.045639552591273,1.5290915994656933,103000,0.0,0.1,0.0,skewnorm,103,0.0
30,1.5290915994656933,2.2360679774997894,1151000,0.0,0.1,0.0,skewnorm,1151,0.0
30,2.2360679774997894,3.2699152894091723,3825000,0.0,0.1,0.0,skewnorm,3825,0.0
30,3.2699152894091723,4.781762498950183,5592000,0.0,0.1,0.0,skewnorm,5592,0.0
30,4.781762498950183,6.9926131329529735,6353000,0.0,0.1,0.0,skewnorm,6353,0.0
30,6.9926131329529735,10.225651825635723,6053000,0.0,0.1,0.0,skewnorm,6053,0.0
30,10.225651825635723,14.953487812212204,5485000,0.0,0.1,0.0,skewnorm,5485,0.0
30,14.953487812212204,21.86724147886555,4531000,0.0,0.1,0.0,skewnorm,4531,0.0
30,21.86724147886555,31.97757311872762,3518000,0.0,0.1,0.0,skewnorm,3518,0.0
30,31.97757311872762,46.762422391131054,2901000,0.0,0.1,0.0,skewnorm,2901,0.0
30,46.762422391131054,68.3830552045834,2108000,0.0,0.1,0.0,skewnorm,2108,0.0
30,68.3830552045834,100.0,1625000,0.0,0.1,0.0,skewnorm,1625,0.0
40,1.5290915994656933,2.2360679774997894,34000,0.0,0.1,0.0,skewnorm,34,0.0
40,2.2360679774997894,3.2699152894091723,685000,0.0,0.1,0.0,skewnorm,685,0.0
40,3.2699152894091723,4.781762498950183,2956000,0.0,0.1,0.0,skewnorm,2956,0.0
40,4.781762498950183,6.9926131329529735,5186000,0.0,0.1,0.0,skewnorm,5186,0.0
40,6.9926131329529735,10.225651825635723,5582000,0.0,0.1,0.0,skewnorm,5582,0.0
40,10.225651825635723,14.953487812212204,5091000,0.0,0.1,0.0,skewnorm,5091,0.0
40,14.953487812212204,21.86724147886555,4592000,0.0,0.1,0.0,skewnorm,4592,0.0
40,21.86724147886555,31.97757311872762,3687000,0.0,0.1,0.0,skewnorm,3687,0.0
40,31.97757311872762,46.762422391131054,2992000,0.0,0.1,0.0,skewnorm,2992,0.0
40,46.762422391131054,68.3830552045834,2452000,0.0,0.1,0.0,skewnorm,2452,0.0
40,68.3830552045834,100.0,1809000,0.0,0.1,0.0,skewnorm,1809,0.0
60,10.225651825635723,14.953487812212204,53000,0.0,0.1,0.0,skewnorm,53,0.0
60,14.953487812212204,21.86724147886555,358000,0.0,0.1,0.0,skewnorm,358,0.0
60,21.86724147886555,31.97757311872762,1254000,0.0,0.1,0.0,skewnorm,1254,0.0
60,31.97757311872762,46.762422391131054,1884000,0.0,0.1,0.0,skewnorm,1884,0.0
60,46.762422391131054,68.3830552045834,1852000,0.0,0.1,0.0,skewnorm,1852,0.0
60,68.3830552045834,100.0,1539000,0.0,0.1,0.0,skewnorm,1539,0.0
