ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model,n_events,fit_mse
20,0.48896638427146416,0.7150402724894495,122000,0.0,0.1,0.0,skewnorm,122,0.0
20,0.7150402724894495,1.045639552591273,1533000,0.0,0.1,0.0,skewnorm,1533,0.0
20,1.045639552591273,1.5290915994656933,6001000,0.0,0.1,0.0,skewnorm,6001,0.0
20,1.5290915994656933,2.2360679774997894,10581000,0.0,0.1,0.0,skewnorm,10581,0.0
20,2.2360679774997894,3.2699152894091723,12278000,0.0,0.1,0.0,skewnorm,12278,0.0
20,3.2699152894091723,4.781762498950183,12448000,0.0,0.1,0.0,skewnorm,12448,0.0
20,4.781762498950183,6.9926131329529735,12047000,0.0,0.1,0.0,skewnorm,12047,0.0
20,6.9926131329529735,10.225651825635723,11473000,0.0,0.1,0.0,skewnorm,11473,0.0
20,10.225651825635723,14.953487812212204,10616000,0.0,0.1,0.0,skewnorm,10616,0.0
20,14.953487812212204,21.86724147886555,9218000,0.0,0.1,0.0,skewnorm,9218,0.0
20,21.86724147886555,31.97757311872762,7972000,0.0,0.1,0.0,skewnorm,7972,0.0
20,31.97757311872762,46.762422391131054,6646000,0.0,0.1,0.0,skewnorm,6646,0.0
20,46.762422391131054,68.3830552045834,5551000,0.0,0.1,0.0,skewnorm,5551,0.0
20,68.3830552045834,100.0,3965000,0.0,0.1,0.0,skewnorm,3965,0.0
30,0.48896638427146416,0.7150402724894495,18000,0.0,0.1,0.0,skewnorm,18,0.0
30,0.7150402724894495,1.045639552591273,417000,0.0,0.1,0.0,skewnorm,417,0.0
30,1.045639552591273,1.5290915994656933,3209000,0.0,0.1,0.0,skewnorm,3209,0.0
30,1.5290915994656933,2.2360679774997894,8741000,0.0,0.1,0.0,skewnorm,8741,0.0
30,2.2360679774997894,3.2699152894091723,12766000,0.0,0.1,0.0,skewnorm,12766,0.0
30,3.2699152894091723,4.781762498950183,14043000,0.0,0.1,0.0,skewnorm,14043,0.0
30,4.781762498950183,6.9926131329529735,14172000,0.0,0.1,0.0,skewnorm,14172,0.0
30,6.9926131329529735,10.225651825635723,13413000,0.0,0.1,0.0,skewnorm,13413,0.0
30,10.225651825635723,14.953487812212204,12577000,0.0,0.1,0.0,skewnorm,12577,0.0
30,14.953487812212204,21.86724147886555,11068000,0.0,0.1,0.0,skewnorm,11068,0.0
30,21.86724147886555,31.97757311872762,9527000,0.0,0.1,0.0,skewnorm,9527,0.0
30,31.97757311872762,46.762422391131054,8467000,0.0,0.1,0.0,skewnorm,8467,0.0
30,46.762422391131054,68.3830552045834,6749000,0.0,0.1,0.0,skewnorm,6749,0.0
30,68.3830552045834,100.0,5291000,0.0,0.1,0.0,skewnorm,5291,0.0
40,0.7150402724894495,1.045639552591273,13000,0.0,0.1,0.0,skewnorm,13,0.0
40,1.045639552591273,1.5290915994656933,350000,0.0,0.1,0.0,skewnorm,350,0.0
40,1.5290915994656933,2.2360679774997894,2978000,0.0,0.1,0.0,skewnorm,2978,0.0
40,2.2360679774997894,3.2699152894091723,8835000,0.0,0.1,0.0,skewnorm,8835,0.0
40,3.2699152894091723,4.781762498950183,13405000,0.0,0.1,0.0,skewnorm,13405,0.0
40,4.781762498950183,6.9926131329529735,15525000,0.0,0.1,0.0,skewnorm,15525,0.0
40,6.9926131329529735,10.225651825635723,15229000,0.0,0.1,0.0,skewnorm,15229,0.0
40,10.225651825635723,14.953487812212204,14106000,0.0,0.1,0.0,skewnorm,14106,0.0
40,14.953487812212204,21.86724147886555,13484000,0.0,0.1,0.0,skewnorm,13484,0.0
40,21.86724147886555,31.97757311872762,11615000,0.0,0.1,0.0,skewnorm,11615,0.0
40,31.97757311872762,46.762422391131054,10184000,0.0,0.1,0.0,skewnorm,10184,0.0
40,46.762422391131054,68.3830552045834,8491000,0.0,0.1,0.0,skewnorm,8491,0.0
40,68.3830552045834,100.0,6811000,0.0,0.1,0.0,skewnorm,6811,0.0
60,3.2699152894091723,4.781762498950183,27000,0.0,0.1,0.0,skewnorm,27,0.0
60,4.781762498950183,6.9926131329529735,347000,0.0,0.1,0.0,skewnorm,347,0.0
60,6.9926131329529735,10.225651825635723,2044000,0.0,0.1,0.0,skewnorm,2044,0.0
60,10.225651825635723,14.953487812212204,5389000,0.0,0.1,0.0,skewnorm,5389,0.0
60,14.953487812212204,21.86724147886555,8986000,0.0,0.1,0.0,skewnorm,8986,0.0
60,21.86724147886555,31.97757311872762,10935000,0.0,0.1,0.0,skewnorm,10935,0.0
60,31.97757311872762,46.762422391131054,11958000,0.0,0.1,0.0,skewnorm,11958,0.0
60,46.762422391131054,68.3830552045834,10891000,0.0,0.1,0.0,skewnorm,10891,0.0
60,68.3830552045834,100.0,9175000,0.0,0.1,0.0,skewnorm,9175,0.0
