ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
20.0,0.967571371793747,1.2181001876756903,235325.36613823663,1.086219482417751,0.25600456024198814,2.4969778163363126,skewnorm
20.0,1.2181001876756903,1.5334972803761706,524675.5884084029,1.0181587076405731,0.20961652166429295,1.8008492690143942,skewnorm
20.0,1.5334972803761706,1.9305586951828064,861913.3957216502,0.9515613097838441,0.19678672943494033,1.977916531609488,skewnorm
20.0,1.9305586951828064,2.4304294003258247,1296035.5589465753,0.9199397786940609,0.18236040596785769,1.857141926011982,skewnorm
20.0,2.4304294003258247,3.0597293336418394,1747876.0882525023,0.9087767082939728,0.1727631805074064,1.73842162667118,skewnorm
20.0,3.0597293336418394,3.8519710113337458,2340342.32118183,0.9067395706869683,0.16660613999447826,1.6654446761250674,skewnorm
20.0,3.8519710113337458,4.849344191662531,2978126.5516346702,0.9134367587133911,0.15469862767746223,1.4359570470821215,skewnorm
20.0,4.849344191662531,6.104962633420404,3779029.9458045997,0.9094689207779469,0.14421450046249287,1.473115080127522,skewnorm
20.0,6.104962633420404,7.685692597266785,4820228.993631898,0.9106136271723826,0.14265210262898986,1.3889305682705477,skewnorm
20.0,7.685692597266785,9.67571371793747,6157320.9529742375,0.918220097353617,0.1314519764228142,1.1539493161638237,skewnorm
20.0,9.67571371793747,12.181001876756904,7605442.992583588,0.9147246151954981,0.12816488120563796,1.2290467297789411,skewnorm
20.0,12.181001876756904,15.33497280376171,9401715.477114793,0.9298529754944573,0.11586160060309009,0.8955205916002374,skewnorm
20.0,15.33497280376171,19.30558695182806,11317149.908346653,0.9243152769134246,0.11639080195572306,0.9706015329812224,skewnorm
20.0,19.30558695182806,24.30429400325825,13703058.235006668,0.9308652449381734,0.10828583160111943,0.8201566204588682,skewnorm
20.0,24.30429400325825,30.59729333641839,15983238.84090305,0.9332335615705278,0.10465978494808212,0.8812656218351884,skewnorm
20.0,30.59729333641839,38.51971011333746,19206522.301417153,0.9395895091155142,0.0999368179090233,0.8239654489724576,skewnorm
30.0,1.2309225809574127,1.5496397171185499,338631.3846280126,1.1123073938776353,0.2691377844359083,2.0341879761518933,skewnorm
30.0,1.5496397171185499,1.9508808190060674,749798.7549885653,1.0012536051017267,0.24348131356883318,2.4041967636869535,skewnorm
30.0,1.9508808190060674,2.4560134384285557,1308989.719962605,0.9536096515953569,0.20727600040151423,2.0816971068496883,skewnorm
30.0,2.4560134384285557,3.091937729345678,1947290.7877288172,0.9212443160205467,0.19197001488435828,1.9469107330582833,skewnorm
30.0,3.091937729345678,3.89251897915843,2658397.4304183726,0.8949331963861504,0.19030853807590076,2.078720832224179,skewnorm
30.0,3.89251897915843,4.900391058753639,3442319.7099640574,0.8926866574920227,0.17814574294089836,1.809595866372448,skewnorm
30.0,4.900391058753639,6.169226831593878,4573215.186564759,0.9043923653238823,0.1617956160215297,1.4250907003045463,skewnorm
30.0,6.169226831593878,7.76659642941595,5801816.478310024,0.9088213763063309,0.14826604255816347,1.2814461956068621,skewnorm
30.0,7.76659642941595,9.77756560814158,7469419.106110161,0.9056900792622573,0.14520117084740952,1.323189518518797,skewnorm
30.0,9.77756560814158,12.309225809574128,9570868.384940293,0.923807798680307,0.1310844791368187,0.9642616013930982,skewnorm
30.0,12.309225809574128,15.496397171185505,11732842.528000046,0.9256310965104115,0.12738934023373188,0.9452428611832799,skewnorm
30.0,15.496397171185505,19.508808190060684,14203405.519410875,0.9236412236967073,0.12033817458863882,0.9023341163681302,skewnorm
30.0,19.508808190060684,24.560134384285558,16988734.94847374,0.9378547724135569,0.1128990069728032,0.6883454943914338,skewnorm
30.0,24.560134384285558,30.91937729345679,20485565.490685053,0.9476535339023455,0.10480557639002594,0.5649978602957377,skewnorm
30.0,30.91937729345679,38.9251897915843,24647301.123742696,0.9480470681745825,0.09600485250008568,0.5873227867713607,skewnorm
40.0,1.8263554096221923,2.299245236141123,479874.83114551456,1.1308398022264985,0.30665420205963667,2.593790649743392,skewnorm
40.0,2.299245236141123,2.8945782557247406,1097570.0176317126,1.0349177721610596,0.25363754585989373,2.172856970606376,skewnorm
40.0,2.8945782557247406,3.644058122558711,1851381.8676272177,0.956356877992036,0.23644940972529033,2.3159496162672917,skewnorm
40.0,3.644058122558711,4.587597372544105,2777745.1529849833,0.9161402719299522,0.20942582257988868,2.2055392625998325,skewnorm
40.0,4.587597372544105,5.775442911375927,3932651.9160343977,0.8957165882190916,0.20034207889379235,1.9519001370860898,skewnorm
40.0,5.775442911375927,7.270851845497642,5198112.220777942,0.8906166037007546,0.18717855617376555,1.8129518867415624,skewnorm
40.0,7.270851845497642,9.153460153687499,6881598.553089222,0.8901343618812512,0.174927925823103,1.5391401120536863,skewnorm
40.0,9.153460153687499,11.523523593322533,8831193.532640455,0.8865863961174303,0.16675659358024914,1.4850655299507731,skewnorm
40.0,11.523523593322533,14.507256685043373,11446242.070494547,0.9021136061391677,0.15333931882355814,1.2109789429738562,skewnorm
40.0,14.507256685043373,18.263554096221917,14401198.937868945,0.9085470267055267,0.1449448104768572,0.9926944238695756,skewnorm
40.0,18.263554096221917,22.992452361411207,17572725.706263904,0.9135275073570237,0.13967957804383407,0.9537952800754819,skewnorm
40.0,22.992452361411207,28.945782557247384,21384090.955335114,0.9132191854767824,0.1327498685831078,0.9582668259851133,skewnorm
40.0,28.945782557247384,36.440581225587096,25752019.238889635,0.9247178526491502,0.12458803472406951,0.8432094758001542,skewnorm
